id;starttime;endtime;description;type;subtype;street;polyline;direction
20250527T213126_757_43;2025-05-27T21:31:26+02:00;2025-05-28T06:00:00+02:00;AI_Chatillon;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;SI_Chatillon;48.8221102750005826 2.3164427185302068 48.8226259542572549 2.3149544577053911;ONE_DIRECTION
20250527T213126_5333_2755;2025-05-27T21:31:26+02:00;2025-05-28T06:00:00+02:00;AI_Chatillon;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;PI_Lagny;48.8519502277654283 2.4148538286474892 48.8517712201236520 2.4149547505536124 48.8513219187768613 2.4151470416149570 48.8508177969497410 2.4152003693726196 48.8487758116494177 2.4147534874962693;ONE_DIRECTION
20250527T213126_5496_2457;2025-05-27T21:31:26+02:00;2025-05-28T06:00:00+02:00;AI_Chatillon;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;Bercy_bretelle_17;48.8280479972187891 2.3922309979061320 48.8281563552863673 2.3918775288513587 48.8281949168007685 2.3914383606903593 48.8281565084273055 2.3911051424911438 48.8279831250864760 2.3907055294060124;ONE_DIRECTION
20250527T213126_5497_739;2025-05-27T21:31:26+02:00;2025-05-28T06:00:00+02:00;AI_Chatillon;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;Bercy_Bretelle_12;48.8279831250864760 2.3907055294060124 48.8278597610200720 2.3905154221893468 48.8276753015874476 2.3903445694744527;ONE_DIRECTION
20241003T082352_371_3685;2024-10-03T08:23:52+02:00;2030-01-03T16:21:00+02:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rivoli;48.8554972796506775 2.3600634149766173 48.8559785960858264 2.3579583705948619;ONE_DIRECTION
20250516T205803_5783_1482;2025-05-16T20:58:03+02:00;2025-07-30T18:00:00+02:00;Travaux:Maitre d'ouvrage:Mission vélo/Objet:Réaménagement de secteur/circulation restreinte;CONSTRUCTION;;Bd_Montparnasse;48.8455409846035309 2.3192032733696593 48.8468224545240872 2.3167885419894874;ONE_DIRECTION
20250516T205803_5786_1992;2025-05-16T20:58:03+02:00;2025-07-30T18:00:00+02:00;Travaux:Maitre d'ouvrage:Mission vélo/Objet:Réaménagement de secteur/circulation restreinte;CONSTRUCTION;;Bd_des_Invalides;48.8468469771137990 2.3164683855599040 48.8467585360015946 2.3165285904529731;ONE_DIRECTION
20210915T124542_1908_1445;2021-09-15T12:45:42+02:00;2030-09-15T17:00:00+02:00;"de Guy Moquet jusqu'à la place Clichy interdit au véhicules,sauf (le bus,taxi,vélo); date de fin indefini";ROAD_CLOSED;ROAD_CLOSED_EVENT;Av_de_Clichy;48.8849283189359483 2.3266309294573326 48.8836726113451192 2.3272038741403231;ONE_DIRECTION
20250527T213126_5207_1291;2025-05-27T21:31:26+02:00;2025-05-28T06:00:00+02:00;AI_Chatillon;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;PI_Parc_Expo_Est;48.8280516132783760 2.2909347491675054 48.8308072817853613 2.2848124587880321;ONE_DIRECTION
20250527T213126_5299_2230;2025-05-27T21:31:26+02:00;2025-05-28T06:00:00+02:00;AI_Chatillon;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;PI_Ivry;48.8206303888260251 2.3760541407969678 48.8188313463871850 2.3706266781583154;ONE_DIRECTION
